ligand_number,vinardo_score
1,-5.648
2,-6.174
3,-5.110
4,-6.043
5,-5.143
6,-5.431
7,-5.677
8,-6.718
9,-6.412
10,-4.436
11,-5.634
12,-5.519
13,-5.584
14,-6.840
15,-4.746
16,-4.633
17,-6.287
18,-3.454
19,-5.195
20,-5.578
21,-5.686
22,-5.237
