ligand_number,vinardo_score
1,-5.028
2,-4.550
3,-4.997
4,-4.780
5,-3.446
6,-5.072
7,-5.399
8,-4.696
9,-5.338
10,-4.050
11,-4.744
12,-4.600
13,-5.212
15,-5.139
16,-3.656
17,-5.007
18,-4.006
19,-5.002
20,-4.791
21,-4.241
